Point,X (mm),Y (mm),Z (mm),Thickness (nm),Ge (Weight %),Te (Weight %),Sb (Weight %),Ge (Stoichiometry),Te (Stoichiometry),Sb (Stoichiometry)
66,141.18,84.20,120.50,70.43,53.6,23.5,22.8,4.00,1.00,1.02
67,135.20,84.11,120.50,69.75,46.0,28.5,25.5,3.03,1.07,1.00
68,129.22,83.96,120.50,70.85,37.5,35.4,27.0,2.33,1.25,1.00
69,123.24,83.87,120.50,71.19,31.2,40.6,28.3,1.85,1.37,1.00
70,117.25,83.78,120.50,76.30,24.3,46.1,29.7,1.37,1.48,1.00
71,111.33,83.69,120.50,78.01,19.5,52.1,28.4,1.15,1.75,1.00
72,105.35,83.61,120.50,84.27,14.8,57.6,27.6,1.00,2.21,1.11
73,99.37,83.52,120.50,90.81,11.4,62.1,26.5,1.00,3.09,1.39
74,93.45,83.43,120.50,96.73,9.2,65.2,25.6,1.00,4.03,1.66
75,87.47,83.34,120.50,106.48,6.9,69.4,23.6,1.00,5.69,2.03
76,81.42,83.25,120.50,114.19,5.3,73.3,21.4,1.00,7.85,2.40
77,75.44,83.16,120.50,123.10,4.3,76.0,19.7,1.00,10.01,2.72
78,69.52,83.07,120.50,0.00,0.0,80.1,19.9,0.00,3.83,1.00
