Site_ID,Row,Col,X_mm,Y_mm,Sample_Num,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
15,8,6,-162.0,-68.0,6,1087.5463,13.5800,80084416.0000,362974624.0000,362.9746
15,8,6,-162.0,-68.0,7,1104.2075,13.4712,81967712.0000,371510464.0000,371.5105
15,8,6,-162.0,-68.0,8,1106.6112,13.3138,83117920.0000,376723680.0000,376.7237
15,8,6,-162.0,-68.0,9,1110.6550,13.1850,84236264.0000,381792448.0000,381.7924
15,8,6,-162.0,-68.0,10,1114.8950,13.1062,85065912.0000,385552736.0000,385.5527
16,9,6,-162.0,-62.0,1,1045.9287,15.7863,66255684.0000,300297280.0000,300.2973
16,9,6,-162.0,-62.0,2,1061.7013,15.1763,69958072.0000,317077984.0000,317.0780
16,9,6,-162.0,-62.0,3,1070.8824,14.8338,72192296.0000,327204384.0000,327.2044
16,9,6,-162.0,-62.0,4,1082.2412,14.4913,74682400.0000,338490528.0000,338.4905
16,9,6,-162.0,-62.0,5,1087.1274,14.1575,76788096.0000,348034368.0000,348.0344
16,9,6,-162.0,-62.0,6,1094.4425,13.9313,78560264.0000,356066560.0000,356.0666
16,9,6,-162.0,-62.0,7,1094.2075,13.8825,78819192.0000,357240128.0000,357.2401
16,9,6,-162.0,-62.0,8,1100.2438,13.6412,80655648.0000,365563680.0000,365.5637
16,9,6,-162.0,-62.0,9,1102.8525,13.5463,81413864.0000,369000192.0000,369.0002
16,9,6,-162.0,-62.0,10,1104.1600,13.4238,82254216.0000,372809024.0000,372.8090
17,9,7,-156.0,-62.0,1,731.0388,18.3775,39779012.0000,180294400.0000,180.2944
17,9,7,-156.0,-62.0,2,760.3013,17.7288,42885216.0000,194372960.0000,194.3730
17,9,7,-156.0,-62.0,3,782.2587,17.2462,45358192.0000,205581472.0000,205.5815
17,9,7,-156.0,-62.0,4,793.3475,16.9962,46677800.0000,211562464.0000,211.5625
17,9,7,-156.0,-62.0,5,799.8337,16.8925,47348456.0000,214602144.0000,214.6021
17,9,7,-156.0,-62.0,6,801.5250,16.7437,47870104.0000,216966464.0000,216.9665
17,9,7,-156.0,-62.0,7,807.4475,16.6375,48531784.0000,219965472.0000,219.9655
17,9,7,-156.0,-62.0,8,810.8500,16.5025,49134980.0000,222699392.0000,222.6994
17,9,7,-156.0,-62.0,9,807.0938,16.4112,49179304.0000,222900288.0000,222.9003
17,9,7,-156.0,-62.0,10,807.6850,16.4575,49077016.0000,222436672.0000,222.4367
18,9,8,-150.0,-62.0,1,58.2537,101.2700,575232.1250,2607182.2500,2.6072
18,9,8,-150.0,-62.0,2,59.0250,99.7100,591966.7500,2683030.2500,2.6830
18,9,8,-150.0,-62.0,3,60.1937,98.0663,613807.0000,2782019.0000,2.7820
18,9,8,-150.0,-62.0,4,61.7088,97.3775,633706.5000,2872211.5000,2.8722
18,9,8,-150.0,-62.0,5,63.3662,96.8400,654339.6250,2965729.0000,2.9657
18,9,8,-150.0,-62.0,6,62.4475,96.4463,647485.0000,2934661.0000,2.9347
18,9,8,-150.0,-62.0,7,57.2800,96.0162,596565.6875,2703874.5000,2.7039
18,9,8,-150.0,-62.0,8,61.7938,95.1488,649443.6875,2943538.7500,2.9435
18,9,8,-150.0,-62.0,9,61.3650,94.9550,646253.5000,2929079.5000,2.9291
18,9,8,-150.0,-62.0,10,65.5625,94.9112,690776.9375,3130877.5000,3.1309
19,9,9,-144.0,-62.0,1,462.0125,62.6425,7375384.5000,33428194.0000,33.4282
19,9,9,-144.0,-62.0,2,454.0175,61.7725,7349833.0000,33312384.0000,33.3124
19,9,9,-144.0,-62.0,3,450.7925,61.1300,7374325.5000,33423394.0000,33.4234
19,9,9,-144.0,-62.0,4,449.1700,60.8375,7383111.0000,33463214.0000,33.4632
19,9,9,-144.0,-62.0,5,445.8412,60.3937,7382242.0000,33459274.0000,33.4593
19,9,9,-144.0,-62.0,6,440.9088,59.9250,7357676.5000,33347934.0000,33.3479
19,9,9,-144.0,-62.0,7,440.2050,59.7363,7369143.5000,33399906.0000,33.3999
19,9,9,-144.0,-62.0,8,439.1650,59.6375,7363907.5000,33376176.0000,33.3762
19,9,9,-144.0,-62.0,9,438.4562,59.2788,7396516.5000,33523972.0000,33.5240
19,9,9,-144.0,-62.0,10,437.3287,58.9000,7424936.0000,33652780.0000,33.6528
20,9,10,-138.0,-62.0,1,387.5825,76.3812,5074315.0000,22998826.0000,22.9988
20,9,10,-138.0,-62.0,2,381.5187,75.3063,5066229.5000,22962180.0000,22.9622
20,9,10,-138.0,-62.0,3,377.0850,74.5100,5060864.5000,22937862.0000,22.9379
20,9,10,-138.0,-62.0,4,374.5925,73.9425,5065998.0000,22961130.0000,22.9611
20,9,10,-138.0,-62.0,5,373.8675,73.3950,5093910.0000,23087638.0000,23.0876
20,9,10,-138.0,-62.0,6,371.7925,73.1150,5085038.0000,23047426.0000,23.0474
20,9,10,-138.0,-62.0,7,370.5187,72.7500,5093041.0000,23083700.0000,23.0837
20,9,10,-138.0,-62.0,8,368.8813,72.3962,5095309.5000,23093982.0000,23.0940
20,9,10,-138.0,-62.0,9,367.8337,71.9425,5112885.5000,23173642.0000,23.1736
20,9,10,-138.0,-62.0,10,366.1050,71.7650,5101442.5000,23121778.0000,23.1218
21,10,10,-138.0,-56.0,1,527.7075,29.3463,17982110.0000,81502120.0000,81.5021
21,10,10,-138.0,-56.0,2,556.3337,28.6650,19408120.0000,87965368.0000,87.9654
21,10,10,-138.0,-56.0,3,575.6300,28.0587,20515170.0000,92982960.0000,92.9830
